state,participation_rate_2018,total_score_2018,participation_rate_2019,total_score_2019,total_number_of_snap_households_in_thousands_2018,number_of_snap_households_with_children_in_thousands_2018,percentage_of_snap_households_with_children_2018,total_number_of_snap_households_in_thousands_2019,number_of_snap_households_with_children_in_thousands_2019,percentage_of_snap_households_with_children_2019
Alabama,0.06,1166,0.07,1143,354,168,0.47600000000000003,354,168,0.47600000000000003
Alaska,0.43,1106,0.41,1097,39,16,0.413,39,16,0.413
Arizona,0.29,1149,0.31,1134,377,175,0.46299999999999997,377,175,0.46299999999999997
Arkansas,0.05,1169,0.06,1141,161,78,0.483,161,78,0.483
California,0.6,1076,0.63,1065,1911,940,0.49200000000000005,1911,940,0.49200000000000005
Colorado,1.0,1025,1.0,1024,219,94,0.428,219,94,0.428
Connecticut,1.0,1053,1.0,1046,219,69,0.314,219,69,0.314
Delaware,1.0,998,1.0,985,67,29,0.43700000000000006,67,29,0.43700000000000006
District of Columbia,0.92,977,0.94,975,68,20,0.289,68,20,0.289
Florida,0.56,1099,1.0,999,1632,624,0.38299999999999995,1632,624,0.38299999999999995
Georgia,0.7,1064,0.71,1058,699,327,0.46799999999999997,699,327,0.46799999999999997
Hawaii,0.56,1010,0.54,1100,82,27,0.327,82,27,0.327
Idaho,1.0,1001,1.0,993,69,33,0.473,69,33,0.473
Illinois,0.99,1019,1.0,1013,904,346,0.38299999999999995,904,346,0.38299999999999995
Indiana,0.63,1074,0.66,1080,270,125,0.46299999999999997,270,125,0.46299999999999997
Iowa,0.03,1265,0.03,1244,161,66,0.40700000000000003,161,66,0.40700000000000003
Kansas,0.04,1265,0.04,1241,99,41,0.414,99,41,0.414
Kentucky,0.04,1248,0.04,1232,279,113,0.406,279,113,0.406
Louisiana,0.04,1210,0.05,1200,401,180,0.449,401,180,0.449
Maine,0.99,1013,0.99,1013,85,28,0.332,85,28,0.332
Maryland,0.76,1080,0.82,1058,341,127,0.371,341,127,0.371
Massachusetts,0.8,1125,0.81,1120,447,138,0.309,447,138,0.309
Michigan,1.0,1011,1.0,1003,672,227,0.33799999999999997,672,227,0.33799999999999997
Minnesota,0.04,1298,0.04,1284,208,80,0.385,208,80,0.385
Mississippi,0.03,1236,0.03,1237,230,110,0.47700000000000004,230,110,0.47700000000000004
Missouri,0.04,1262,0.04,1236,331,148,0.44799999999999995,331,148,0.44799999999999995
Montana,0.1,1198,0.09,1199,55,21,0.385,55,21,0.385
Nebraska,0.03,1252,0.03,1260,75,34,0.461,75,34,0.461
Nevada,0.23,1140,0.2,1156,226,80,0.355,226,80,0.355
New Hampshire,0.96,1063,0.95,1059,43,18,0.419,43,18,0.419
New Jersey,0.82,1094,0.82,1090,376,143,0.38,376,143,0.38
New Mexico,0.16,1093,0.18,1073,214,88,0.41100000000000003,214,88,0.41100000000000003
New York,0.79,1068,0.79,1064,1520,492,0.324,1520,492,0.324
North Carolina,0.52,1098,0.51,1100,634,290,0.45799999999999996,634,290,0.45799999999999996
North Dakota,0.02,1283,0.02,1263,24,10,0.41700000000000004,24,10,0.41700000000000004
Oklahoma,0.08,1062,0.22,963,260,117,0.452,260,117,0.452
Ohio,0.18,1099,0.19,1097,698,281,0.40299999999999997,698,281,0.40299999999999997
Oregon,0.48,1117,0.51,1112,358,101,0.282,358,101,0.282
Pennsylvania,0.7,1086,0.7,1082,946,320,0.33899999999999997,946,320,0.33899999999999997
Rhode Island,0.97,1018,1.0,995,92,28,0.304,92,28,0.304
South Carolina,0.55,1070,0.68,1030,301,146,0.483,301,146,0.483
South Dakota,0.03,1240,0.03,1268,40,18,0.45799999999999996,40,18,0.45799999999999996
Tennessee,0.06,1231,0.07,1220,463,193,0.418,463,193,0.418
Texas,0.66,1032,0.68,1022,1595,852,0.534,1595,852,0.534
Utah,0.04,1010,0.04,1230,76,39,0.513,76,39,0.513
Vermont,0.64,1120,0.66,1106,41,12,0.29600000000000004,41,12,0.29600000000000004
Virginia,0.68,1117,0.68,1119,342,154,0.449,342,154,0.449
Washington,0.69,1081,0.7,1074,495,149,0.3,495,149,0.3
West Virginia,0.28,999,0.99,943,163,61,0.373,163,61,0.373
Wisconsin,0.03,1294,0.03,1283,323,120,0.37200000000000005,323,120,0.37200000000000005
Wyoming,0.03,1257,0.03,1238,13,6,0.48700000000000004,13,6,0.48700000000000004
