state,total_number_of_snap_households_in_thousands_2018,number_of_snap_households_with_children_in_thousands_2018,percentage_of_snap_households_with_children_2018,total_number_of_snap_households_in_thousands_2019,number_of_snap_households_with_children_in_thousands_2019,percentage_of_snap_households_with_children_2019
Alabama,354,168,0.47600000000000003,354,168,0.47600000000000003
Alaska,39,16,0.413,39,16,0.413
Arizona,377,175,0.46299999999999997,377,175,0.46299999999999997
Arkansas,161,78,0.483,161,78,0.483
California,1911,940,0.49200000000000005,1911,940,0.49200000000000005
Colorado,219,94,0.428,219,94,0.428
Connecticut,219,69,0.314,219,69,0.314
Delaware,67,29,0.43700000000000006,67,29,0.43700000000000006
District of Columbia,68,20,0.289,68,20,0.289
Florida,1632,624,0.38299999999999995,1632,624,0.38299999999999995
Georgia,699,327,0.46799999999999997,699,327,0.46799999999999997
Guam,15,10,0.635,15,10,0.635
Hawaii,82,27,0.327,82,27,0.327
Idaho,69,33,0.473,69,33,0.473
Illinois,904,346,0.38299999999999995,904,346,0.38299999999999995
Indiana,270,125,0.46299999999999997,270,125,0.46299999999999997
Iowa,161,66,0.40700000000000003,161,66,0.40700000000000003
Kansas,99,41,0.414,99,41,0.414
Kentucky,279,113,0.406,279,113,0.406
Louisiana,401,180,0.449,401,180,0.449
Maine,85,28,0.332,85,28,0.332
Maryland,341,127,0.371,341,127,0.371
Massachusetts,447,138,0.309,447,138,0.309
Michigan,672,227,0.33799999999999997,672,227,0.33799999999999997
Minnesota,208,80,0.385,208,80,0.385
Mississippi,230,110,0.47700000000000004,230,110,0.47700000000000004
Missouri,331,148,0.44799999999999995,331,148,0.44799999999999995
Montana,55,21,0.385,55,21,0.385
Nebraska,75,34,0.461,75,34,0.461
Nevada,226,80,0.355,226,80,0.355
New Hampshire,43,18,0.419,43,18,0.419
New Jersey,376,143,0.38,376,143,0.38
New Mexico,214,88,0.41100000000000003,214,88,0.41100000000000003
New York,1520,492,0.324,1520,492,0.324
North Carolina,634,290,0.45799999999999996,634,290,0.45799999999999996
North Dakota,24,10,0.41700000000000004,24,10,0.41700000000000004
Ohio,698,281,0.40299999999999997,698,281,0.40299999999999997
Oklahoma,260,117,0.452,260,117,0.452
Oregon,358,101,0.282,358,101,0.282
Pennsylvania,946,320,0.33899999999999997,946,320,0.33899999999999997
Rhode Island,92,28,0.304,92,28,0.304
South Carolina,301,146,0.483,301,146,0.483
South Dakota,40,18,0.45799999999999996,40,18,0.45799999999999996
Tennessee,463,193,0.418,463,193,0.418
Texas,1595,852,0.534,1595,852,0.534
Utah,76,39,0.513,76,39,0.513
Vermont,41,12,0.29600000000000004,41,12,0.29600000000000004
Virgin Islands,14,6,0.429,14,6,0.429
Virginia,342,154,0.449,342,154,0.449
Washington,495,149,0.3,495,149,0.3
West Virginia,163,61,0.373,163,61,0.373
Wisconsin,323,120,0.37200000000000005,323,120,0.37200000000000005
Wyoming,13,6,0.48700000000000004,13,6,0.48700000000000004
